Poisson lognormal,2,1000,-3,3,10000,0.6463,0.9401,0.9896,0.9956,0.6285,0.868,1,1,1,1,1,0.9737,0.292623838,0.61021855,0.979141141,0.982020105,0.742523005,0.492841838,0,0,0,0,0,0
Poisson lognormal,3,1000,-3,3,10000,0.6133,0.9298,0.9948,0.9984,0.0584,0.8606,1,1,1,1,1,0.9739,0.437376145,0.946054191,1.724455605,1.732995958,1.938419766,0.788098899,0,0,0,0,0,0
Poisson lognormal,5,1000,-3,3,10000,0.6001,0.916608199,0.9974,0.9995,0,0.851470294,1,1,1,1,1,0.972094419,0.728454882,1.583401755,3.493522371,3.523643188,7.278620211,1.330602049,0,0.0023,0,0,0,2.00E-04
Poisson lognormal,1,1000,0.1,2.2,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poisson lognormal,2,1000,0.1,2.2,10000,0.8825,0.9621,0.9493,0.9522,0.7657,0.8983,1,1,1,1,1,1,0.294769382,0.394325649,0.372706829,0.372654292,0.345326527,0.310152752,0,0,0,0,0,0
Poisson lognormal,3,1000,0.1,2.2,10000,0.8755,0.9608,0.9605,0.9618,0.0835,0.9,1,1,1,1,1,1,0.442631496,0.593788073,0.601499452,0.601753932,0.637343924,0.46933394,0,0,0,0,0,0
Poisson lognormal,5,1000,0.1,2.2,10000,0.8695,0.9554,0.9734,0.9759,0,0.8969,1,1,1,1,1,1,0.737008365,0.990141357,1.101688816,1.102140516,1.705640661,0.782450268,0,0,0,0,0,0
Poisson lognormal,1,1000,2.3,0.7,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poisson lognormal,2,1000,2.3,0.7,10000,0.8929,0.9036,0.9105,0.9106,0.8844,0.8977,1,1,1,1,1,1,0.295307209,0.304887844,0.310823309,0.310851786,0.30474153,0.298228338,0,0,0,0,0,0
Poisson lognormal,3,1000,2.3,0.7,10000,0.8955,0.9078,0.9211,0.9204,0.7506,0.903,1,1,1,1,1,1,0.442688687,0.457216881,0.475934403,0.475932199,0.478483029,0.447315652,0,0,0,0,0,0
Poisson lognormal,5,1000,2.3,0.7,10000,0.8988,0.9116,0.9321,0.932,0.0691,0.9045,1,1,1,1,1,1,0.737279047,0.760658637,0.817081585,0.817029212,0.921774079,0.744171389,0,0,0,0,0,0
