Poisson lognormal,2,1000,2.3,0.7,10000,0.8929,0.9035
Poisson lognormal,3,30,-3,3,10000,0.6823,0.736877523553163
Poisson lognormal,3,30,0.1,2.2,10000,0.9005,0.935611437842223
Poisson lognormal,3,30,2.3,0.7,10000,0.8972,0.868174807197943
Poisson lognormal,3,100,-3,3,10000,0.6518,0.956053154755676
Poisson lognormal,3,100,0.1,2.2,10000,0.8822,0.9474
Poisson lognormal,3,100,2.3,0.7,10000,0.8962,0.8934
Poisson lognormal,3,1000,-3,3,10000,0.6133,0.9532
Poisson lognormal,3,1000,0.1,2.2,10000,0.8755,0.9615
Poisson lognormal,3,1000,2.3,0.7,10000,0.8955,0.9096
Poisson lognormal,5,30,-3,3,10000,0.6276,0.568212080861881
Poisson lognormal,5,30,0.1,2.2,10000,0.908,0.949076436371058
Poisson lognormal,5,30,2.3,0.7,10000,0.8999,0.874019810152703
Poisson lognormal,5,100,-3,3,10000,0.6482,0.904975887768523
Poisson lognormal,5,100,0.1,2.2,10000,0.8852,0.956
Poisson lognormal,5,100,2.3,0.7,10000,0.9019,0.895989598959896
Poisson lognormal,5,1000,-3,3,10000,0.6001,0.950821314102564
Poisson lognormal,5,1000,0.1,2.2,10000,0.8695,0.9599
Poisson lognormal,5,1000,2.3,0.7,10000,0.8988,0.9127
Poisson inverse Gaussian,1,30,-3,3,10000,0.9427,0.94335791386128
Poisson inverse Gaussian,1,30,0.1,2.2,10000,0.9038,0.925173488886654
Poisson inverse Gaussian,1,30,2.3,0.7,10000,0.9014,0.862704918032787
Poisson inverse Gaussian,1,100,-3,3,10000,0.9286,0.979342158042519
Poisson inverse Gaussian,1,100,0.1,2.2,10000,0.9018,0.9537
Poisson inverse Gaussian,1,100,2.3,0.7,10000,0.9044,0.8942
Poisson inverse Gaussian,1,1000,-3,3,10000,0.908,0.9914
Poisson inverse Gaussian,1,1000,0.1,2.2,10000,0.902,0.9666
Poisson inverse Gaussian,1,1000,2.3,0.7,10000,0.9021,0.9098
Poisson inverse Gaussian,2,30,-3,3,10000,0.5236,0.889400921658986
Poisson inverse Gaussian,2,30,0.1,2.2,10000,0.8379,0.911167002012072
Poisson inverse Gaussian,2,30,2.3,0.7,10000,0.8826,0.861337683523654
Poisson inverse Gaussian,2,100,-3,3,10000,0.4224,0.961775088250126
Poisson inverse Gaussian,2,100,0.1,2.2,10000,0.7992,0.9275
Poisson inverse Gaussian,2,100,2.3,0.7,10000,0.8778,0.8925
Poisson inverse Gaussian,2,1000,-3,3,10000,0.3478,0.8796
Poisson inverse Gaussian,2,1000,0.1,2.2,10000,0.7761,0.9432
Poisson inverse Gaussian,2,1000,2.3,0.7,10000,0.8797,0.9111
Poisson inverse Gaussian,3,30,-3,3,10000,0.3346,0.86352148272957
Poisson inverse Gaussian,3,30,0.1,2.2,10000,0.7543,0.886491368928141
Poisson inverse Gaussian,3,30,2.3,0.7,10000,0.8584,0.857403651115619
Poisson inverse Gaussian,3,100,-3,3,10000,0.2775,0.952225063938619
Poisson inverse Gaussian,3,100,0.1,2.2,10000,0.6879,0.8913
Poisson inverse Gaussian,3,100,2.3,0.7,10000,0.84,0.8801
Poisson inverse Gaussian,3,1000,-3,3,10000,0.236,0.8383
Poisson inverse Gaussian,3,1000,0.1,2.2,10000,0.6431,0.9163
Poisson inverse Gaussian,3,1000,2.3,0.7,10000,0.8293,0.9022
Poisson inverse Gaussian,5,30,-3,3,10000,0.1999,0.825662482566248
Poisson inverse Gaussian,5,30,0.1,2.2,10000,0.6137,0.848910751932537
Poisson inverse Gaussian,5,30,2.3,0.7,10000,0.799,0.832962813257882
Poisson inverse Gaussian,5,100,-3,3,10000,0.1826,0.955131621016732
Poisson inverse Gaussian,5,100,0.1,2.2,10000,0.5529,0.8387
Poisson inverse Gaussian,5,100,2.3,0.7,10000,0.7643,0.8601
Poisson inverse Gaussian,5,1000,-3,3,10000,0.1536,0.796979697969797
Poisson inverse Gaussian,5,1000,0.1,2.2,10000,0.4902,0.8918
Poisson inverse Gaussian,5,1000,2.3,0.7,10000,0.7344,0.8915
