Neyman,2,100,2.3,0.7,10000,0.9009,0.8903,0.8976,0.8972,0.9219,0.8927
Neyman,3,100,2.3,0.7,10000,0.8962,0.8855,0.8993,0.8992,0.8876,0.8845
Neyman,5,100,2.3,0.7,10000,0.9019,0.8883,0.9094,0.9097,0.732,0.8884
Neyman,1,1000,-3,3,10000,NA,NA,NA,NA,NA,NA
Neyman,2,1000,-3,3,10000,0.6463,0.9401,0.9896,0.9959,0.6285,0.8687
Neyman,3,1000,-3,3,10000,0.6133,0.9298,0.9948,0.9985,0.0584,0.8604
Neyman,5,1000,-3,3,10000,0.6001,0.916608199,0.9973,0.9995,0,0.850770154
Neyman,1,1000,0.1,2.2,10000,NA,NA,NA,NA,NA,NA
Neyman,2,1000,0.1,2.2,10000,0.8825,0.9621,0.9495,0.9521,0.7657,0.8985
Neyman,3,1000,0.1,2.2,10000,0.8755,0.9608,0.9602,0.962,0.0835,0.8991
Neyman,5,1000,0.1,2.2,10000,0.8695,0.9554,0.9741,0.9762,0,0.8965
Neyman,1,1000,2.3,0.7,10000,NA,NA,NA,NA,NA,NA
Neyman,2,1000,2.3,0.7,10000,0.8929,0.9036,0.9099,0.9096,0.8844,0.8972
Neyman,3,1000,2.3,0.7,10000,0.8955,0.9078,0.9204,0.9205,0.7506,0.9024
Neyman,5,1000,2.3,0.7,10000,0.8988,0.9116,0.9339,0.934,0.0691,0.9047
Poisson lognormal,1,30,-3,3,10000,NA,NA,NA,NA,NA,NA
Poisson lognormal,2,30,-3,3,10000,0.7187,0.640117994,0.913,0.975753932,0.991083058,0.636229532
Poisson lognormal,3,30,-3,3,10000,0.6823,0.521013795,0.9007,0.975032985,0.996752258,0.590594059
Poisson lognormal,5,30,-3,3,10000,0.6276,0.360955538,0.8191,0.962226858,0.999121555,0.453433039
Poisson lognormal,1,30,0.1,2.2,10000,NA,NA,NA,NA,NA,NA
Poisson lognormal,2,30,0.1,2.2,10000,0.9006,0.9047,0.8806,0.8816,0.9569,0.8418
Poisson lognormal,3,30,0.1,2.2,10000,0.9005,0.8942,0.8878,0.8904,0.9197,0.823164633
Poisson lognormal,5,30,0.1,2.2,10000,0.908,0.88876663,0.9032,0.9102,0.8133,0.811930738
Poisson lognormal,1,30,2.3,0.7,10000,NA,NA,NA,NA,NA,NA
Poisson lognormal,2,30,2.3,0.7,10000,0.8958,0.8412,0.8569,0.8563,0.9636,0.8686
Poisson lognormal,3,30,2.3,0.7,10000,0.8972,0.8461,0.8647,0.8642,0.9159,0.8658
Poisson lognormal,5,30,2.3,0.7,10000,0.8999,0.8455,0.8677,0.8677,0.8423,0.8659
Poisson lognormal,1,100,-3,3,10000,NA,NA,NA,NA,NA,NA
Poisson lognormal,2,100,-3,3,10000,0.682,0.873158756,0.9678,0.9882,0.9526,0.721816707
Poisson lognormal,3,100,-3,3,10000,0.6518,0.863746192,0.9702,0.9944,0.9356,0.687832343
Poisson lognormal,5,100,-3,3,10000,0.6482,0.795305677,0.9716,0.99839936,0.933573429,0.663272727
Poisson lognormal,1,100,0.1,2.2,10000,NA,NA,NA,NA,NA,NA
Poisson lognormal,2,100,0.1,2.2,10000,0.8944,0.9456,0.9255,0.9281,0.9166,0.8783
Poisson lognormal,3,100,0.1,2.2,10000,0.8822,0.9336,0.9284,0.929,0.7998,0.8624
Poisson lognormal,5,100,0.1,2.2,10000,0.8852,0.9327,0.9477,0.9511,0.3038,0.8576
Poisson lognormal,1,100,2.3,0.7,10000,NA,NA,NA,NA,NA,NA
Poisson lognormal,2,100,2.3,0.7,10000,0.9009,0.8903,0.8976,0.8972,0.9219,0.8927
Poisson lognormal,3,100,2.3,0.7,10000,0.8962,0.8855,0.8993,0.8992,0.8876,0.8845
Poisson lognormal,5,100,2.3,0.7,10000,0.9019,0.8883,0.9094,0.9097,0.732,0.8884
Poisson lognormal,1,1000,-3,3,10000,NA,NA,NA,NA,NA,NA
Poisson lognormal,2,1000,-3,3,10000,0.6463,0.9401,0.9896,0.9959,0.6285,0.8687
Poisson lognormal,3,1000,-3,3,10000,0.6133,0.9298,0.9948,0.9985,0.0584,0.8604
Poisson lognormal,5,1000,-3,3,10000,0.6001,0.916608199,0.9973,0.9995,0,0.850770154
Poisson lognormal,1,1000,0.1,2.2,10000,NA,NA,NA,NA,NA,NA
Poisson lognormal,2,1000,0.1,2.2,10000,0.8825,0.9621,0.9495,0.9521,0.7657,0.8985
Poisson lognormal,3,1000,0.1,2.2,10000,0.8755,0.9608,0.9602,0.962,0.0835,0.8991
Poisson lognormal,5,1000,0.1,2.2,10000,0.8695,0.9554,0.9741,0.9762,0,0.8965
Poisson lognormal,1,1000,2.3,0.7,10000,NA,NA,NA,NA,NA,NA
Poisson lognormal,2,1000,2.3,0.7,10000,0.8929,0.9036,0.9099,0.9096,0.8844,0.8972
Poisson lognormal,3,1000,2.3,0.7,10000,0.8955,0.9078,0.9204,0.9205,0.7506,0.9024
Poisson lognormal,5,1000,2.3,0.7,10000,0.8988,0.9116,0.9339,0.934,0.0691,0.9047
