population,phi,n,b1,b2,N,ch cov b,ch cov phi,fb cov b,fb cov phi,vg cov b,vg cov phi,hy cov b,hy cov phi,ch pow b,ch pow phi,fb pow b,fb pow phi,vg pow b,vg pow phi,hy pow b,hy pow phi,ch wid b,ch wid phi,fb wid b,fb wid phi,vg wid b,vg wid phi,hy wid b,hy wid phi,ch err,fb.err,vg err,hy err
2,5,100,-3,3,10000,0.998,0.72,0.983,1,0.961,0.99,0.999,0.998,0.014,0.221,0.504,0.013,0.998,0.985,1,0.985,14.344,2.654,8.302,19.601,6.256,35.746,14.344,19.586,0,0,0.001,0
3,3,100,-3,3,10000,0.994,0.734,0.971,0.998,0.952,0.985,0.989,0.993,0.183,0.536,0.795,0.182,0.995,0.907,1,0.907,8.423,1.601,5.747,7.307,4.657,8.409,8.385,7.284,0,0,1e-04,0
3,5,100,-3,3,10000,0.998,0.722,0.981,1,0.963,0.992,0.998,0.998,0.017,0.229,0.516,0.015,0.998,0.981,1,0.981,14.346,2.636,8.327,19.768,6.291,35.607,14.357,19.712,0,0,0.0018,0
1,1,100,0.1,2.2,10000,0.941,0.952,0.946,0.951,0.955,0.046,0.946,0.962,1,1,1,1,0.048,0.049,0.954,0.038,0.756,0.577,0.757,0.571,0.787,2.743,0.757,0.577,0,0,0.5828,0
1,3,100,0.1,2.2,10000,0.997,0.861,0.95,0.944,0.943,0.952,0.973,0.944,0.995,1,1,0.995,1,1,1,1,2.205,1.679,1.315,2.399,1.194,1.993,1.409,2.399,0,0,0,0
1,5,100,0.1,2.2,10000,1,0.784,0.951,0.943,0.945,0.949,0.975,0.943,0.745,0.999,1,0.745,1,1,1,1,3.597,2.745,1.699,4.841,1.43,3.652,3.569,4.841,0,0,0,0
2,3,100,0.1,2.2,10000,0.998,0.937,0.951,0.963,0.935,0.882,0.976,0.963,0.998,1,1,0.998,1,1,1,1,2.253,1.717,1.319,2.068,1.277,2.421,1.434,2.068,0,0,0,0
2,5,100,0.1,2.2,10000,1,0.94,0.953,0.977,0.903,0.439,0.978,0.977,0.747,1,1,0.747,1,1,1,1,3.762,2.865,1.713,3.805,1.676,6.491,3.736,3.805,0,0,0,0
3,3,100,0.1,2.2,10000,0.998,0.936,0.949,0.965,0.935,0.879,0.973,0.965,0.998,1,1,0.998,1,1,1,1,2.249,1.718,1.317,2.06,1.277,2.422,1.443,2.06,0,0,0,0
3,5,100,0.1,2.2,10000,1,0.939,0.954,0.974,0.903,0.442,0.982,0.974,0.746,1,1,0.746,1,1,1,1,3.759,2.861,1.709,3.779,1.675,6.458,3.737,3.779,0,0,0,0
1,1,100,2.3,0.7,10000,0.943,0.949,0.949,0.939,0.955,0.054,0.943,0.953,1,1,1,1,0.052,0.061,0.946,0.047,0.361,0.578,0.361,0.555,0.374,2.772,0.361,0.578,0,0,0.5806,0
1,3,100,2.3,0.7,10000,0.999,0.936,0.949,0.95,0.947,0.955,0.999,0.95,0.813,0.993,0.996,0.813,1,1,1,1,1.075,1.723,0.626,1.834,0.599,1.727,1.075,1.834,0,0,0,0
1,5,100,2.3,0.7,10000,1,0.915,0.95,0.949,0.943,0.947,1,0.949,0.21,0.919,0.951,0.21,1,1,1,1,1.779,2.851,0.808,3.353,0.751,2.922,1.779,3.353,0,0,0,0
2,3,100,2.3,0.7,10000,0.998,0.948,0.949,0.949,0.942,0.942,0.998,0.949,0.814,0.994,0.994,0.814,1,1,1,1,1.077,1.725,0.625,1.722,0.612,1.806,1.077,1.722,0,0,0,0
2,5,100,2.3,0.7,10000,1,0.949,0.951,0.952,0.932,0.817,1,0.952,0.187,0.926,0.928,0.187,1,1,1,1,1.805,2.89,0.81,2.938,0.804,3.45,1.805,2.938,0,0,0,0
