"","population","phi","n","b1","b2","N","cover_phi","cover_b","power_phi","power_b","width_phi","width_b","na"
"result.1","Negbin",5,30,-3,3,1000,0.653,0.963,0.729,0.087,16.9390895515203,13.5858676080974,0
"result.2","Neyman",5,30,-3,3,1000,0.667,0.956,0.959,0.041,8.86436963601098,15.3770726853431,0
"result.3","Poisson lognormal",5,30,-3,3,1000,0.68,0.944,0.957,0.069,9.92644170340013,15.8156101040169,0
"result.4","Negbin",5,30,0.1,2.2,1000,0.788,0.945,0.999,0.807,5.66404023457817,3.02158055935893,0
"result.5","Neyman",5,30,0.1,2.2,1000,0.882,0.955,1,0.825,4.55862602291708,3.04850221244435,0
"result.6","Poisson lognormal",5,30,0.1,2.2,1000,0.872,0.952,1,0.803,4.61270761158818,3.12054400378729,0
"result.7","Negbin",5,30,2.3,0.7,1000,0.889,0.938,1,0.443,5.47890870114262,1.46542564140803,0
"result.8","Neyman",5,30,2.3,0.7,1000,0.904,0.954,1,0.45,5.36951888673214,1.49453832665049,0
"result.9","Poisson lognormal",5,30,2.3,0.7,1000,0.923,0.962,1,0.444,5.37731303118933,1.47226810187217,0
