"","population","phi","n","b1","b2","N","cover_phi","cover_b","power_phi","power_b","width_phi","width_b","na"
"result.1","Negbin",2,30,-3,3,20,0.5,0.9,0.6,0.55,1.31205169975702,5.28669937208719,0
"result.2","Neyman",2,30,-3,3,20,0.4,0.85,0.5,0.6,1.02360335965876,6.23279964536575,0
"result.3","Poisson lognormal",2,30,-3,3,20,0.5,0.95,0.6,0.55,1.68345210816768,6.22500447189236,0
"result.4","Negbin",2,30,0.1,2.2,20,0.7,0.9,0.85,1,1.27252459487461,1.32435061848271,0
"result.5","Neyman",2,30,0.1,2.2,20,0.7,0.85,0.75,1,1.12914118004477,1.22440246357245,0
"result.6","Poisson lognormal",2,30,0.1,2.2,20,0.95,0.8,0.95,0.95,1.39862381297416,1.39398439961289,0
"result.7","Negbin",2,30,2.3,0.7,20,0.7,0.65,0.95,0.9,1.77400902123065,0.706463340013494,0
"result.8","Neyman",2,30,2.3,0.7,20,0.6,0.95,0.95,0.95,1.32894102770286,0.72689161677061,0
"result.9","Poisson lognormal",2,30,2.3,0.7,20,0.7,0.85,0.85,0.85,1.37964404886663,0.73155437655713,0
