"","population","phi","n","b1","b2","N","cover_phi","cover_b","power_phi","power_b","width_phi","width_b","na"
"result.1","Negbin",1,30,-3,3,1000,0.885,0.967,0.115,0.619,0.764189369497969,5.52676779126225,0
"result.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.4","Negbin",1,30,0.1,2.2,1000,0.906,0.952,0.094,1,1.08594798529559,1.39135302919149,0
"result.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.7","Negbin",1,30,2.3,0.7,1000,0.919,0.941,0.081,0.988,1.11753683979676,0.656670201392381,0
"result.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"result.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
