"","population","phi","n","b1","b2","N","cover_phi","cover_b","power_phi","power_b","width_phi","width_b","na"
"result.1","Negbin",3,30,-3,3,1000,0.665,0.97,0.636,0.147,5.90946084659139,10.0370227373665,0
"result.2","Neyman",3,30,-3,3,1000,0.742,0.976,0.826,0.105,5.75788793071253,11.1524815103141,0
"result.3","Poisson lognormal",3,30,-3,3,1000,0.754,0.974,0.831,0.099,6.62552954628294,10.9949077637651,0
"result.4","Negbin",3,30,0.1,2.2,1000,0.849,0.954,0.967,0.963,3.14300604190055,2.39057877351775,0
"result.5","Neyman",3,30,0.1,2.2,1000,0.874,0.947,0.993,0.949,2.95151524000138,2.41724925109118,0
"result.6","Poisson lognormal",3,30,0.1,2.2,1000,0.879,0.957,0.991,0.958,2.97902786054308,2.41703472319533,0
"result.7","Negbin",3,30,2.3,0.7,1000,0.906,0.955,0.986,0.674,3.42460667953733,1.14843254362012,0
"result.8","Neyman",3,30,2.3,0.7,1000,0.912,0.949,0.988,0.66,3.32894167227936,1.15163796557701,0
"result.9","Poisson lognormal",3,30,2.3,0.7,1000,0.918,0.955,0.988,0.699,3.35611890243807,1.15121253796976,0
