"","population","phi","n","b1","b2","N","cover_phi","cover_b","power_phi","power_b","width_phi","width_b","na"
"result.1","Negbin",5,100,-3,3,1000,0.611,0.938,0.93,0.472,5.2056008331881,6.41993711348853,0
"result.2","Neyman",5,100,-3,3,1000,0.749,0.97,0.991,0.393,3.86795292100089,7.11180008920537,0
"result.3","Poisson lognormal",5,100,-3,3,1000,0.775,0.959,0.985,0.372,3.91142467483723,6.90728030739721,0
"result.4","Negbin",5,100,0.1,2.2,1000,0.839,0.962,1,0.999,3.46098860251874,1.69208555595666,0
"result.5","Neyman",5,100,0.1,2.2,1000,0.907,0.956,1,1,2.57481142630875,1.69250706132131,0
"result.6","Poisson lognormal",5,100,0.1,2.2,1000,0.893,0.96,1,1,2.57127640708701,1.69497426673115,0
"result.7","Negbin",5,100,2.3,0.7,1000,0.904,0.962,1,0.932,2.97618287257881,0.806453925015036,0
"result.8","Neyman",5,100,2.3,0.7,1000,0.926,0.957,1,0.935,2.74805867177486,0.805023365960494,0
"result.9","Poisson lognormal",5,100,2.3,0.7,1000,0.917,0.94,1,0.93,2.75443546453905,0.807173963957837,0
