"","population","phi","n","b1","b2","N","cover_phi","cover_b","power_phi","power_b","width_phi","width_b","na"
"result.1","Negbin",5,1000,-3,3,1000,0.769,0.949,1,1,2.98516940708733,2.07169313837233,0
"result.2","Neyman",5,1000,-3,3,1000,0.874,0.96,1,1,1.42734473400099,2.07582421853106,0
"result.3","Poisson lognormal",5,1000,-3,3,1000,0.901,0.952,1,1,1.45991236468725,2.08307369289478,0
"result.4","Negbin",5,1000,0.1,2.2,1000,0.932,0.938,1,1,1.36156375433784,0.534137434829959,0
"result.5","Neyman",5,1000,0.1,2.2,1000,0.933,0.933,1,1,0.909100107151515,0.532873488302878,0
"result.6","Poisson lognormal",5,1000,0.1,2.2,1000,0.931,0.94,1,1,0.902580234715009,0.533079490504236,0
"result.7","Negbin",5,1000,2.3,0.7,1000,0.956,0.948,1,1,0.999705872884443,0.254860508222559,0
"result.8","Neyman",5,1000,2.3,0.7,1000,0.943,0.943,1,1,0.876375361349121,0.254308836665514,0
"result.9","Poisson lognormal",5,1000,2.3,0.7,1000,0.944,0.946,1,1,0.875519860160984,0.254045518670554,0
